workDate,itemID,duration,rateApplied,payout,payType,projectName,status
"Jun 30, 2025","68616414c52ec92c7da89fac","4h 28m 15s","$13.75/hr","$61.48","prepay","andromeda_ui","processed"
"Jun 30, 2025","6861b5d02b08adc01da66197","4h 16m 15s","$13.75/hr","$58.72","prepay","andromeda_ui","processed"
"Jun 29, 2025","685f256dd7e2a0322c47444a","4h 27m 46s","$13.75/hr","$61.36","prepay","andromeda_ui","processed"
"Jun 29, 2025","685f25872b5899acf7ba0064","4h 27m 35s","$13.75/hr","$61.32","prepay","andromeda_ui","processed"
"Jun 28, 2025","685fd963d19093be56cc39ea","4h 26m 25s","$13.75/hr","$61.05","prepay","andromeda_ui","processed"
"Jun 28, 2025","685fd7d9697f4ac7fd232d6e","4h 25m 49s","$13.75/hr","$60.92","prepay","andromeda_ui","processed"
"Jun 27, 2025","685ddf5971c1a02dcff458d2","4h 26m 38s","$13.75/hr","$61.11","prepay","andromeda_ui","processed"
"Jun 27, 2025","685ddf56a27b6af47a884159","4h 25m 51s","$13.75/hr","$60.92","prepay","andromeda_ui","processed"
"Jun 27, 2025","685ddf4bc975f564fcbcfad7","4h 26m 11s","$13.75/hr","$61.00","prepay","andromeda_ui","processed"
"Jun 26, 2025","685ae8eba8bbba6f261b5644","4h 25m 22s","$13.75/hr","$60.81","prepay","andromeda_ui","processed"
"Jun 26, 2025","68557af2c66203026dfde85d","4h 25m 50s","$13.75/hr","$60.92","prepay","andromeda_ui","processed"
"Jun 26, 2025","685c492c42c413b9071e8a91","4h 24m 7s","$13.75/hr","$60.53","prepay","andromeda_ui","processed"
"Jun 25, 2025","685bad87418da567511dadfd","4m 11s","$4.13/hr","$0.29","overtimePay","andromeda_ui","processed"
"Jun 25, 2025","685bad87418da567511dadfd","4h 30m ","$13.75/hr","$61.88","prepay","andromeda_ui","processed"
"May 14, 2025","68246b1415b6873ab369076c","18m ","$2.48/hr","$0.74","trainingTask","mint_rating_v2","processed"
"May 14, 2025","682464962eaf69fe57c406f7","18m ","$2.48/hr","$0.74","trainingTask","mint_rating_v2","processed"
"May 14, 2025","68245dffab03ef79cf8bab64","18m ","$2.48/hr","$0.74","trainingTask","mint_rating_v2","processed"
